"Overshooting (0:Without,1:With)",Initial Mass,Initial Metallicity,Initial He Abundance,Age,Log L,Log Teff,Log g,Log Tc,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1,0.6,4.00E-04,0.23,40400000000.0,1.194,3.718,2.84,7.533,5.211,1.0,1.82e-06,1.7e-05,0.0,0.48,1.193,0.3701,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.255,3.717,2.774,7.542,5.24,1.0,1.82e-06,1.7e-05,0.0,0.48,1.253,0.3807,0.3984,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.315,3.715,2.708,7.551,5.266,1.0,1.82e-06,1.7e-05,0.0,0.48,1.313,0.3901,0.4063,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.377,3.713,2.639,7.56,5.293,1.0,1.82e-06,1.7e-05,0.0,0.48,1.376,0.4004,0.4148,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.439,3.711,2.57,7.57,5.319,1.0,1.82e-06,1.7e-05,0.0,0.48,1.438,0.4106,0.4233,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.503,3.71,2.498,7.58,5.345,1.0,1.82e-06,1.7e-05,0.0,0.48,1.502,0.4206,0.4322,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.563,3.708,2.431,7.589,5.369,1.0,1.82e-06,1.7e-05,0.0,0.48,1.562,0.4304,0.441,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.623,3.706,2.364,7.599,5.393,1.0,1.82e-06,1.7e-05,0.0,0.48,1.621,0.4405,0.4501,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40500000000.0,1.684,3.704,2.294,7.61,5.418,1.0,1.82e-06,1.7e-05,0.0,0.48,1.683,0.4512,0.4667,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,1.745,3.702,2.226,7.62,5.442,1.0,1.82e-06,1.7e-05,0.0,0.48,1.743,0.4618,0.4761,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,1.81,3.7,2.152,7.637,5.478,1.0,1.82e-06,1.7e-05,0.0,0.4836,1.81,0.4777,0.4847,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,1.87,3.698,2.083,7.646,5.498,1.0,1.82e-06,1.7e-05,0.0,0.4925,1.868,0.487,0.4935,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,1.93,3.695,2.014,7.656,5.519,1.0,1.82e-06,1.7e-05,0.0,0.502,1.928,0.4969,0.5083,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,1.991,3.693,1.944,7.666,5.54,1.0,1.82e-06,1.7e-05,0.0,0.5118,1.989,0.507,0.5126,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,2.052,3.691,1.874,7.676,5.561,1.0,1.82e-06,1.7e-05,0.0,0.5217,2.05,0.5173,0.5225,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,2.111,3.688,1.805,7.686,5.582,1.0,1.82e-06,1.7e-05,0.0,0.5321,2.109,0.5292,0.5374,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,2.175,3.686,1.73,7.698,5.604,1.0,1.82e-06,1.7e-05,0.0,0.5435,2.173,0.5401,0.544,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,40600000000.0,2.235,3.683,1.66,7.705,5.626,1.0,1.82e-06,1.7e-05,0.0,0.5545,2.233,0.5513,0.555,0.0,0.0,0.0,0.0,-1.765,0.0053,
1,0.6,4.00E-04,0.23,40600000000.0,2.301,3.68,1.583,7.714,5.649,1.0,1.82e-06,1.7e-05,0.0,0.5667,2.299,0.5637,0.5671,0.0,0.0,0.0,0.0,-1.699,0.0651,
